Date;Frequency;Geo;Measure;Value;Vehicle
1990;Annual;Denmark;Percentage;6.3;Trains
1992;Annual;Denmark;Percentage;6.1;Trains
1993;Annual;Denmark;Percentage;8.3;Trains
2001;Annual;Denmark;Percentage;9.1;Trains
2002;Annual;Denmark;Percentage;9.2;Trains
2004;Annual;Denmark;Percentage;9.3;Trains
2014;Annual;Denmark;Percentage;9.7;Trains
2015;Annual;Denmark;Percentage;9.3;Trains
1994;Annual;Denmark;Percentage;80.2;Passenger cars
1997;Annual;Denmark;Percentage;79.6;Passenger cars
2001;Annual;Denmark;Percentage;79.2;Passenger cars
2004;Annual;Denmark;Percentage;79.3;Passenger cars
2006;Annual;Denmark;Percentage;11.2;Motor coaches, buses and trolley buses
2011;Annual;Denmark;Percentage;10.1;Motor coaches, buses and trolley buses
1997;Annual;Germany (until 1990 former territory of the FRG);Percentage;7.6;Trains
2016;Annual;Germany (until 1990 former territory of the FRG);Percentage;8.6;Trains
1990;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.4;Passenger cars
1992;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.0;Passenger cars
2003;Annual;Germany (until 1990 former territory of the FRG);Percentage;86.1;Passenger cars
2004;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.8;Passenger cars
2017;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.6;Passenger cars
2007;Annual;Germany (until 1990 former territory of the FRG);Percentage;6.5;Motor coaches, buses and trolley buses
2014;Annual;Germany (until 1990 former territory of the FRG);Percentage;5.8;Motor coaches, buses and trolley buses
2016;Annual;Germany (until 1990 former territory of the FRG);Percentage;5.8;Motor coaches, buses and trolley buses
2005;Annual;Denmark;Percentage;9.5;Trains
2009;Annual;Denmark;Percentage;9.5;Trains
2011;Annual;Denmark;Percentage;10.0;Trains
2016;Annual;Denmark;Percentage;8.8;Trains
1992;Annual;Denmark;Percentage;82.8;Passenger cars
2010;Annual;Denmark;Percentage;79.7;Passenger cars
2013;Annual;Denmark;Percentage;79.9;Passenger cars
2014;Annual;Denmark;Percentage;80.6;Passenger cars
1994;Annual;Denmark;Percentage;11.3;Motor coaches, buses and trolley buses
1996;Annual;Denmark;Percentage;12.5;Motor coaches, buses and trolley buses
2015;Annual;Denmark;Percentage;9.8;Motor coaches, buses and trolley buses
1992;Annual;Germany (until 1990 former territory of the FRG);Percentage;6.8;Trains
1998;Annual;Germany (until 1990 former territory of the FRG);Percentage;7.5;Trains
2017;Annual;Germany (until 1990 former territory of the FRG);Percentage;8.7;Trains
1996;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.4;Passenger cars
1998;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.5;Passenger cars
2007;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.7;Passenger cars
2015;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.6;Passenger cars
2008;Annual;Germany (until 1990 former territory of the FRG);Percentage;6.3;Motor coaches, buses and trolley buses
2003;Annual;Estonia;Percentage;1.7;Trains
2015;Annual;Estonia;Percentage;78.2;Passenger cars
1998;Annual;Estonia;Percentage;24.0;Motor coaches, buses and trolley buses
1999;Annual;Estonia;Percentage;22.2;Motor coaches, buses and trolley buses
1994;Annual;Ireland;Percentage;3.4;Trains
2001;Annual;Ireland;Percentage;3.3;Trains
2014;Annual;Ireland;Percentage;3.0;Trains
2015;Annual;Ireland;Percentage;3.1;Trains
1999;Annual;Ireland;Percentage;83.4;Passenger cars
2015;Annual;Ireland;Percentage;83.3;Passenger cars
2012;Annual;Ireland;Percentage;14.4;Motor coaches, buses and trolley buses
2017;Annual;Ireland;Percentage;14.3;Motor coaches, buses and trolley buses
1991;Annual;Greece;Percentage;64.6;Passenger cars
1995;Annual;Greece;Percentage;66.9;Passenger cars
2017;Annual;Greece;Percentage;82.5;Passenger cars
2000;Annual;Greece;Percentage;25.1;Motor coaches, buses and trolley buses
2003;Annual;Greece;Percentage;22.1;Motor coaches, buses and trolley buses
2004;Annual;Greece;Percentage;20.9;Motor coaches, buses and trolley buses
2006;Annual;Greece;Percentage;19.2;Motor coaches, buses and trolley buses
2008;Annual;Greece;Percentage;17.9;Motor coaches, buses and trolley buses
2000;Annual;Spain;Percentage;5.4;Trains
2004;Annual;Spain;Percentage;5.0;Trains
2017;Annual;Spain;Percentage;7.0;Trains
2003;Annual;Spain;Percentage;83.1;Passenger cars
2008;Annual;Spain;Percentage;80.3;Passenger cars
1991;Annual;Spain;Percentage;13.7;Motor coaches, buses and trolley buses
1993;Annual;Spain;Percentage;13.2;Motor coaches, buses and trolley buses
1996;Annual;Spain;Percentage;13.8;Motor coaches, buses and trolley buses
2004;Annual;Spain;Percentage;13.2;Motor coaches, buses and trolley buses
2005;Annual;Spain;Percentage;12.9;Motor coaches, buses and trolley buses
2010;Annual;Spain;Percentage;12.3;Motor coaches, buses and trolley buses
1991;Annual;France;Percentage;8.8;Trains
2003;Annual;France;Percentage;8.4;Trains
2012;Annual;France;Percentage;9.5;Trains
2013;Annual;France;Percentage;10.5;Trains
2017;Annual;France;Percentage;10.8;Trains
1996;Annual;France;Percentage;86.4;Passenger cars
2002;Annual;France;Percentage;86.4;Passenger cars
2005;Annual;France;Percentage;85.8;Passenger cars
2007;Annual;France;Percentage;84.9;Passenger cars
2010;Annual;France;Percentage;85.5;Passenger cars
2011;Annual;France;Percentage;85.3;Passenger cars
1992;Annual;France;Percentage;5.8;Motor coaches, buses and trolley buses
1994;Annual;France;Percentage;5.7;Motor coaches, buses and trolley buses
2000;Annual;France;Percentage;5.3;Motor coaches, buses and trolley buses
2011;Annual;France;Percentage;5.4;Motor coaches, buses and trolley buses
1997;Annual;Croatia;Percentage;5.2;Trains
1999;Annual;Croatia;Percentage;4.8;Trains
2017;Annual;Italy;Percentage;82.0;Passenger cars
1992;Annual;Italy;Percentage;11.6;Motor coaches, buses and trolley buses
2006;Annual;Italy;Percentage;12.4;Motor coaches, buses and trolley buses
2012;Annual;Italy;Percentage;14.7;Motor coaches, buses and trolley buses
2014;Annual;Italy;Percentage;13.7;Motor coaches, buses and trolley buses
2000;Annual;Cyprus;Percentage;77.7;Passenger cars
2015;Annual;Cyprus;Percentage;81.3;Passenger cars
1999;Annual;Cyprus;Percentage;22.1;Motor coaches, buses and trolley buses
2001;Annual;Latvia;Percentage;4.8;Trains
2001;Annual;Latvia;Percentage;79.9;Passenger cars
2004;Annual;Latvia;Percentage;73.8;Passenger cars
2006;Annual;Latvia;Percentage;76.6;Passenger cars
2015;Annual;Latvia;Percentage;80.7;Passenger cars
1997;Annual;Latvia;Percentage;17.8;Motor coaches, buses and trolley buses
1998;Annual;Latvia;Percentage;18.1;Motor coaches, buses and trolley buses
2009;Annual;Latvia;Percentage;15.1;Motor coaches, buses and trolley buses
2016;Annual;Latvia;Percentage;15.1;Motor coaches, buses and trolley buses
2005;Annual;Lithuania;Percentage;0.7;Trains
2015;Annual;Lithuania;Percentage;0.9;Trains
2003;Annual;Lithuania;Percentage;85.0;Passenger cars
2007;Annual;Lithuania;Percentage;91.0;Passenger cars
2009;Annual;Lithuania;Percentage;92.3;Passenger cars
2011;Annual;Lithuania;Percentage;90.8;Passenger cars
2011;Annual;Lithuania;Percentage;8.3;Motor coaches, buses and trolley buses
1990;Annual;Luxembourg;Percentage;4.4;Trains
2000;Annual;Luxembourg;Percentage;5.1;Trains
2014;Annual;Luxembourg;Percentage;4.3;Trains
1991;Annual;Luxembourg;Percentage;85.4;Passenger cars
1993;Annual;Luxembourg;Percentage;85.2;Passenger cars
1995;Annual;Luxembourg;Percentage;85.0;Passenger cars
1996;Annual;Luxembourg;Percentage;85.2;Passenger cars
1998;Annual;Luxembourg;Percentage;85.2;Passenger cars
1999;Annual;Luxembourg;Percentage;84.9;Passenger cars
2006;Annual;Luxembourg;Percentage;85.3;Passenger cars
2007;Annual;Luxembourg;Percentage;84.9;Passenger cars
2008;Annual;Luxembourg;Percentage;84.2;Passenger cars
2010;Annual;Luxembourg;Percentage;83.5;Passenger cars
1996;Annual;Luxembourg;Percentage;9.8;Motor coaches, buses and trolley buses
2003;Annual;Luxembourg;Percentage;10.6;Motor coaches, buses and trolley buses
2008;Annual;Luxembourg;Percentage;11.4;Motor coaches, buses and trolley buses
2009;Annual;Luxembourg;Percentage;11.4;Motor coaches, buses and trolley buses
2010;Annual;Luxembourg;Percentage;12.1;Motor coaches, buses and trolley buses
2016;Annual;Luxembourg;Percentage;12.3;Motor coaches, buses and trolley buses
2017;Annual;Luxembourg;Percentage;12.4;Motor coaches, buses and trolley buses
1993;Annual;Hungary;Percentage;12.4;Trains
1994;Annual;Hungary;Percentage;12.2;Trains
1995;Annual;Hungary;Percentage;12.0;Trains
2002;Annual;Hungary;Percentage;13.9;Trains
2008;Annual;Hungary;Percentage;10.4;Trains
2011;Annual;Hungary;Percentage;10.2;Trains
1992;Annual;Hungary;Percentage;63.9;Passenger cars
1993;Annual;Hungary;Percentage;64.5;Passenger cars
1996;Annual;Hungary;Percentage;94.7;Passenger cars
1998;Annual;Hungary;Percentage;63.9;Passenger cars
2003;Annual;Hungary;Percentage;62.1;Passenger cars
1993;Annual;Hungary;Percentage;23.2;Motor coaches, buses and trolley buses
1995;Annual;Hungary;Percentage;23.6;Motor coaches, buses and trolley buses
1996;Annual;Hungary;Percentage;3.5;Motor coaches, buses and trolley buses
2012;Annual;Hungary;Percentage;22.3;Motor coaches, buses and trolley buses
1995;Annual;Malta;Percentage;80.6;Passenger cars
2003;Annual;Malta;Percentage;79.5;Passenger cars
2004;Annual;Malta;Percentage;79.6;Passenger cars
1999;Annual;Malta;Percentage;20.4;Motor coaches, buses and trolley buses
2005;Annual;Malta;Percentage;19.7;Motor coaches, buses and trolley buses
2008;Annual;Malta;Percentage;19.2;Motor coaches, buses and trolley buses
2014;Annual;Malta;Percentage;16.9;Motor coaches, buses and trolley buses
2016;Annual;Malta;Percentage;17.4;Motor coaches, buses and trolley buses
2017;Annual;Malta;Percentage;17.5;Motor coaches, buses and trolley buses
2005;Annual;Netherlands;Percentage;8.9;Trains
2007;Annual;Netherlands;Percentage;9.6;Trains
2012;Annual;Netherlands;Percentage;10.7;Trains
2014;Annual;Netherlands;Percentage;11.8;Trains
2016;Annual;Netherlands;Percentage;11.0;Trains
2003;Annual;Netherlands;Percentage;3.9;Motor coaches, buses and trolley buses
2005;Annual;Netherlands;Percentage;3.8;Motor coaches, buses and trolley buses
2007;Annual;Netherlands;Percentage;3.4;Motor coaches, buses and trolley buses
2016;Annual;Netherlands;Percentage;3.0;Motor coaches, buses and trolley buses
1990;Annual;Austria;Percentage;11.9;Trains
1999;Annual;Austria;Percentage;9.6;Trains
2012;Annual;Austria;Percentage;11.8;Trains
2014;Annual;Austria;Percentage;12.1;Trains
1998;Annual;Austria;Percentage;79.4;Passenger cars
1999;Annual;Austria;Percentage;79.6;Passenger cars
2000;Annual;Austria;Percentage;79.2;Passenger cars
2002;Annual;Austria;Percentage;79.4;Passenger cars
2004;Annual;Austria;Percentage;79.6;Passenger cars
2005;Annual;Austria;Percentage;79.7;Passenger cars
2007;Annual;Austria;Percentage;78.9;Passenger cars
2008;Annual;Austria;Percentage;78.3;Passenger cars
2009;Annual;Austria;Percentage;79.0;Passenger cars
2011;Annual;Austria;Percentage;78.3;Passenger cars
2013;Annual;Austria;Percentage;77.5;Passenger cars
2015;Annual;Austria;Percentage;77.8;Passenger cars
1990;Annual;Austria;Percentage;11.0;Motor coaches, buses and trolley buses
1994;Annual;Austria;Percentage;10.6;Motor coaches, buses and trolley buses
2004;Annual;Austria;Percentage;11.0;Motor coaches, buses and trolley buses
2011;Annual;Austria;Percentage;10.4;Motor coaches, buses and trolley buses
2012;Annual;Austria;Percentage;10.4;Motor coaches, buses and trolley buses
2015;Annual;Austria;Percentage;10.2;Motor coaches, buses and trolley buses
1995;Annual;Poland;Percentage;15.5;Trains
2003;Annual;Poland;Percentage;8.1;Trains
2011;Annual;Poland;Percentage;6.9;Trains
2012;Annual;Poland;Percentage;7.2;Trains
2014;Annual;Poland;Percentage;6.3;Trains
1997;Annual;Poland;Percentage;71.3;Passenger cars
1999;Annual;Poland;Percentage;72.3;Passenger cars
2008;Annual;Poland;Percentage;71.9;Passenger cars
2012;Annual;Poland;Percentage;76.8;Passenger cars
2014;Annual;Poland;Percentage;78.2;Passenger cars
1995;Annual;Poland;Percentage;19.9;Motor coaches, buses and trolley buses
1997;Annual;Poland;Percentage;17.9;Motor coaches, buses and trolley buses
2001;Annual;Poland;Percentage;23.5;Motor coaches, buses and trolley buses
2012;Annual;Poland;Percentage;16.0;Motor coaches, buses and trolley buses
2013;Annual;Poland;Percentage;15.3;Motor coaches, buses and trolley buses
2016;Annual;Poland;Percentage;14.2;Motor coaches, buses and trolley buses
1994;Annual;Portugal;Percentage;7.8;Trains
1998;Annual;Portugal;Percentage;5.8;Trains
2001;Annual;Portugal;Percentage;4.5;Trains
2002;Annual;Portugal;Percentage;4.3;Trains
2006;Annual;Portugal;Percentage;4.0;Trains
2007;Annual;Portugal;Percentage;4.1;Trains
1995;Annual;Portugal;Percentage;76.5;Passenger cars
1996;Annual;Portugal;Percentage;78.1;Passenger cars
1999;Annual;Portugal;Percentage;81.1;Passenger cars
2000;Annual;Portugal;Percentage;81.7;Passenger cars
2001;Annual;Portugal;Percentage;82.8;Passenger cars
2003;Annual;Portugal;Percentage;85.1;Passenger cars
2007;Annual;Portugal;Percentage;89.4;Passenger cars
2015;Annual;Portugal;Percentage;88.9;Passenger cars
1999;Annual;Portugal;Percentage;13.7;Motor coaches, buses and trolley buses
2000;Annual;Portugal;Percentage;13.6;Motor coaches, buses and trolley buses
2011;Annual;Portugal;Percentage;6.3;Motor coaches, buses and trolley buses
1995;Annual;Romania;Percentage;26.5;Trains
2000;Annual;Romania;Percentage;16.3;Trains
2006;Annual;Romania;Percentage;9.6;Trains
2007;Annual;Romania;Percentage;8.6;Trains
2008;Annual;Romania;Percentage;7.6;Trains
2015;Annual;Romania;Percentage;4.6;Trains
2017;Annual;Romania;Percentage;4.7;Trains
2006;Annual;Romania;Percentage;76.4;Passenger cars
2011;Annual;Romania;Percentage;78.5;Passenger cars
2016;Annual;Romania;Percentage;80.1;Passenger cars
1997;Annual;Romania;Percentage;17.1;Motor coaches, buses and trolley buses
2000;Annual;Romania;Percentage;12.2;Motor coaches, buses and trolley buses
2012;Annual;Romania;Percentage;17.2;Motor coaches, buses and trolley buses
2014;Annual;Romania;Percentage;16.9;Motor coaches, buses and trolley buses
2017;Annual;Romania;Percentage;15.0;Motor coaches, buses and trolley buses
1994;Annual;Slovenia;Percentage;3.0;Trains
1999;Annual;Slovenia;Percentage;2.5;Trains
2000;Annual;Slovenia;Percentage;2.9;Trains
2004;Annual;Slovenia;Percentage;2.7;Trains
2005;Annual;Slovenia;Percentage;2.7;Trains
2013;Annual;Slovenia;Percentage;2.3;Trains
2016;Annual;Slovenia;Percentage;2.0;Trains
1990;Annual;Slovenia;Percentage;62.7;Passenger cars
1994;Annual;Slovenia;Percentage;76.6;Passenger cars
2002;Annual;Slovenia;Percentage;83.9;Passenger cars
2006;Annual;Slovenia;Percentage;85.6;Passenger cars
2009;Annual;Slovenia;Percentage;86.7;Passenger cars
2010;Annual;Slovenia;Percentage;86.8;Passenger cars
2016;Annual;Slovenia;Percentage;86.3;Passenger cars
1990;Annual;Slovenia;Percentage;30.6;Motor coaches, buses and trolley buses
1994;Annual;Slovenia;Percentage;20.4;Motor coaches, buses and trolley buses
1997;Annual;Slovenia;Percentage;18.2;Motor coaches, buses and trolley buses
2000;Annual;Slovenia;Percentage;14.3;Motor coaches, buses and trolley buses
2005;Annual;Slovenia;Percentage;11.6;Motor coaches, buses and trolley buses
2006;Annual;Slovenia;Percentage;11.7;Motor coaches, buses and trolley buses
2009;Annual;Slovenia;Percentage;10.7;Motor coaches, buses and trolley buses
2012;Annual;Slovenia;Percentage;11.1;Motor coaches, buses and trolley buses
2017;Annual;Slovenia;Percentage;11.7;Motor coaches, buses and trolley buses
1994;Annual;Slovakia;Percentage;12.5;Trains
1998;Annual;Slovakia;Percentage;8.5;Trains
2004;Annual;Slovakia;Percentage;6.0;Trains
1994;Annual;Slovakia;Percentage;47.7;Passenger cars
2000;Annual;Slovakia;Percentage;64.4;Passenger cars
2001;Annual;Slovakia;Percentage;64.7;Passenger cars
2006;Annual;Slovakia;Percentage;70.7;Passenger cars
2007;Annual;Slovakia;Percentage;72.0;Passenger cars
2008;Annual;Slovakia;Percentage;73.0;Passenger cars
2009;Annual;Slovakia;Percentage;77.6;Passenger cars
2012;Annual;Slovakia;Percentage;77.3;Passenger cars
2017;Annual;Slovakia;Percentage;74.4;Passenger cars
1995;Annual;Slovakia;Percentage;45.1;Motor coaches, buses and trolley buses
1996;Annual;Slovakia;Percentage;44.7;Motor coaches, buses and trolley buses
2010;Annual;Slovakia;Percentage;15.3;Motor coaches, buses and trolley buses
2013;Annual;Slovakia;Percentage;15.1;Motor coaches, buses and trolley buses
2015;Annual;Slovakia;Percentage;14.8;Motor coaches, buses and trolley buses
2000;Annual;Finland;Percentage;5.1;Trains
2002;Annual;Finland;Percentage;4.8;Trains
2008;Annual;Finland;Percentage;5.4;Trains
2010;Annual;Finland;Percentage;5.2;Trains
1991;Annual;Finland;Percentage;81.7;Passenger cars
1994;Annual;Finland;Percentage;81.8;Passenger cars
1996;Annual;Finland;Percentage;81.7;Passenger cars
2017;Annual;France;Percentage;6.5;Motor coaches, buses and trolley buses
2004;Annual;Croatia;Percentage;4.2;Trains
2009;Annual;Croatia;Percentage;5.6;Trains
2012;Annual;Croatia;Percentage;3.5;Trains
2009;Annual;Croatia;Percentage;83.6;Passenger cars
2011;Annual;Croatia;Percentage;84.6;Passenger cars
1997;Annual;Croatia;Percentage;20.2;Motor coaches, buses and trolley buses
2001;Annual;Italy;Percentage;83.2;Passenger cars
2007;Annual;Italy;Percentage;81.6;Passenger cars
2014;Annual;Italy;Percentage;80.1;Passenger cars
1990;Annual;Italy;Percentage;12.9;Motor coaches, buses and trolley buses
1991;Annual;Italy;Percentage;12.7;Motor coaches, buses and trolley buses
1999;Annual;Italy;Percentage;11.5;Motor coaches, buses and trolley buses
2002;Annual;Italy;Percentage;11.1;Motor coaches, buses and trolley buses
2011;Annual;Italy;Percentage;13.2;Motor coaches, buses and trolley buses
1998;Annual;Cyprus;Percentage;77.7;Passenger cars
2002;Annual;Cyprus;Percentage;77.4;Passenger cars
2003;Annual;Cyprus;Percentage;76.4;Passenger cars
2008;Annual;Cyprus;Percentage;81.2;Passenger cars
2017;Annual;Cyprus;Percentage;81.0;Passenger cars
1996;Annual;Cyprus;Percentage;22.9;Motor coaches, buses and trolley buses
2005;Annual;Cyprus;Percentage;20.8;Motor coaches, buses and trolley buses
2006;Annual;Cyprus;Percentage;20.4;Motor coaches, buses and trolley buses
2003;Annual;Latvia;Percentage;4.8;Trains
2007;Annual;Latvia;Percentage;4.9;Trains
2011;Annual;Latvia;Percentage;4.9;Trains
2012;Annual;Latvia;Percentage;4.8;Trains
2008;Annual;Latvia;Percentage;78.7;Passenger cars
2017;Annual;Latvia;Percentage;82.7;Passenger cars
2004;Annual;Latvia;Percentage;21.1;Motor coaches, buses and trolley buses
2015;Annual;Latvia;Percentage;15.8;Motor coaches, buses and trolley buses
2002;Annual;Lithuania;Percentage;2.5;Trains
2004;Annual;Lithuania;Percentage;1.5;Trains
2010;Annual;Lithuania;Percentage;0.7;Trains
2000;Annual;Lithuania;Percentage;82.2;Passenger cars
2008;Annual;Lithuania;Percentage;91.2;Passenger cars
2016;Annual;Lithuania;Percentage;89.9;Passenger cars
2016;Annual;Lithuania;Percentage;9.1;Motor coaches, buses and trolley buses
1998;Annual;Estonia;Percentage;2.8;Trains
1999;Annual;Estonia;Percentage;75.0;Passenger cars
2000;Annual;Estonia;Percentage;69.8;Passenger cars
2001;Annual;Estonia;Percentage;70.1;Passenger cars
2010;Annual;Estonia;Percentage;81.4;Passenger cars
2010;Annual;Estonia;Percentage;16.6;Motor coaches, buses and trolley buses
2012;Annual;Estonia;Percentage;16.8;Motor coaches, buses and trolley buses
2013;Annual;Estonia;Percentage;17.4;Motor coaches, buses and trolley buses
2002;Annual;Ireland;Percentage;3.5;Trains
2004;Annual;Ireland;Percentage;3.0;Trains
2008;Annual;Ireland;Percentage;3.3;Trains
2010;Annual;Ireland;Percentage;2.9;Trains
1991;Annual;Ireland;Percentage;84.3;Passenger cars
2010;Annual;Ireland;Percentage;82.6;Passenger cars
2012;Annual;Ireland;Percentage;82.8;Passenger cars
2013;Annual;Ireland;Percentage;83.2;Passenger cars
1998;Annual;Ireland;Percentage;13.3;Motor coaches, buses and trolley buses
2005;Annual;Ireland;Percentage;14.6;Motor coaches, buses and trolley buses
2005;Annual;Greece;Percentage;1.7;Trains
2007;Annual;Greece;Percentage;1.6;Trains
2009;Annual;Greece;Percentage;1.2;Trains
2011;Annual;Greece;Percentage;0.8;Trains
1997;Annual;Greece;Percentage;68.9;Passenger cars
2010;Annual;Greece;Percentage;81.6;Passenger cars
2017;Annual;Greece;Percentage;16.6;Motor coaches, buses and trolley buses
1993;Annual;Spain;Percentage;5.4;Trains
1999;Annual;Spain;Percentage;81.2;Passenger cars
2009;Annual;Spain;Percentage;13.3;Motor coaches, buses and trolley buses
2013;Annual;Spain;Percentage;13.2;Motor coaches, buses and trolley buses
1993;Annual;France;Percentage;5.8;Motor coaches, buses and trolley buses
2005;Annual;France;Percentage;5.2;Motor coaches, buses and trolley buses
2006;Annual;France;Percentage;5.3;Motor coaches, buses and trolley buses
2007;Annual;Croatia;Percentage;5.0;Trains
1996;Annual;Croatia;Percentage;72.9;Passenger cars
2005;Annual;Croatia;Percentage;83.8;Passenger cars
2016;Annual;Croatia;Percentage;85.0;Passenger cars
2000;Annual;Croatia;Percentage;13.6;Motor coaches, buses and trolley buses
2002;Annual;Croatia;Percentage;13.3;Motor coaches, buses and trolley buses
2010;Annual;Croatia;Percentage;10.7;Motor coaches, buses and trolley buses
2011;Annual;Croatia;Percentage;10.5;Motor coaches, buses and trolley buses
2000;Annual;Italy;Percentage;5.8;Trains
2002;Annual;Italy;Percentage;5.6;Trains
2006;Annual;Italy;Percentage;6.1;Trains
2009;Annual;Italy;Percentage;5.5;Trains
2017;Annual;Italy;Percentage;5.9;Trains
1990;Annual;Italy;Percentage;80.2;Passenger cars
1991;Annual;Italy;Percentage;80.6;Passenger cars
1992;Annual;Italy;Percentage;82.3;Passenger cars
2009;Annual;Finland;Percentage;10.0;Motor coaches, buses and trolley buses
2015;Annual;Finland;Percentage;9.7;Motor coaches, buses and trolley buses
1992;Annual;Sweden;Percentage;5.8;Trains
1994;Annual;Sweden;Percentage;6.3;Trains
2006;Annual;Sweden;Percentage;7.7;Trains
2009;Annual;Sweden;Percentage;8.8;Trains
2014;Annual;Sweden;Percentage;9.2;Trains
2000;Annual;Sweden;Percentage;85.1;Passenger cars
2001;Annual;Sweden;Percentage;85.1;Passenger cars
2004;Annual;Sweden;Percentage;85.9;Passenger cars
