Date;Frequency;Geo;Measure;Tra Mode;Value
2015;Annual;Bulgaria;Percentage;Railways;17.9
2017;Annual;Bulgaria;Percentage;Railways;18.5
2007;Annual;Czechia;Percentage;Railways;32.1
2016;Annual;Czechia;Percentage;Railways;26.5
2018;Annual;European Union - 28 countries (2013-2020);Percentage;Railways, inland waterways - sum of available data;23.5
2005;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;2.7
2009;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;2.1
2010;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;2.2
2011;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;1.8
2016;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;1.3
2008;Annual;Greece;Percentage;Roads;97.1
2017;Annual;Greece;Percentage;Roads;98.2
2007;Annual;Croatia;Percentage;Railways;22.9
2014;Annual;Croatia;Percentage;Railways;20.4
2015;Annual;Croatia;Percentage;Railways;19.4
2017;Annual;Croatia;Percentage;Railways;20.1
2011;Annual;Sweden;Percentage;Railways;34.8
2018;Annual;Sweden;Percentage;Railways;31.1
2006;Annual;United Kingdom;Percentage;Roads;88.6
2008;Annual;United Kingdom;Percentage;Roads;88.8
2010;Annual;United Kingdom;Percentage;Roads;89.0
2013;Annual;United Kingdom;Percentage;Roads;86.5
2016;Annual;United Kingdom;Percentage;Roads;90.5
2017;Annual;United Kingdom;Percentage;Roads;90.4
2018;Annual;United Kingdom;Percentage;Roads;90.5
2008;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;30.0
2010;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;29.5
2013;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;29.3
2007;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;74.2
2011;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;71.6
2015;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;52.4
2005;Annual;Estonia;Percentage;Roads;20.0
2008;Annual;Estonia;Percentage;Roads;31.8
2011;Annual;Estonia;Percentage;Roads;28.4
2012;Annual;Estonia;Percentage;Roads;33.1
2014;Annual;Estonia;Percentage;Roads;44.8
2017;Annual;Estonia;Percentage;Roads;55.6
2006;Annual;Spain;Percentage;Roads;95.0
2008;Annual;Spain;Percentage;Roads;95.2
2017;Annual;Spain;Percentage;Roads;94.9
2005;Annual;Denmark;Percentage;Roads;89.4
2008;Annual;Denmark;Percentage;Roads;91.0
2009;Annual;Denmark;Percentage;Roads;90.9
2013;Annual;Denmark;Percentage;Roads;88.7
2018;Annual;Denmark;Percentage;Roads;88.2
2006;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;18.9
2008;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;19.3
2011;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;19.3
2015;Annual;United Kingdom;Percentage;Inland waterways;0.1
2007;Annual;Estonia;Percentage;Railways;74.2
2008;Annual;Estonia;Percentage;Railways;68.2
2009;Annual;Estonia;Percentage;Railways;74.1
2010;Annual;Estonia;Percentage;Railways;75.4
2012;Annual;Estonia;Percentage;Railways;66.9
2014;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;1.1
2015;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;1.0
2013;Annual;Italy;Percentage;Railways;11.8
2016;Annual;Italy;Percentage;Railways;14.7
2008;Annual;Luxembourg;Percentage;Roads;77.0
2009;Annual;Luxembourg;Percentage;Roads;80.4
2016;Annual;Luxembourg;Percentage;Roads;87.3
2005;Annual;Ireland;Percentage;Railways;1.9
2008;Annual;Ireland;Percentage;Railways;0.7
2014;Annual;Ireland;Percentage;Railways;1.1
2010;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;4.6
2014;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;5.9
2018;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;5.0
2006;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;69.8
2010;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;70.5
2015;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;71.6
2016;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;70.5
2007;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;10.9
2015;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;9.1
2016;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;8.6
2018;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;7.4
2011;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;11.2
2017;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;13.6
2018;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;13.2
2006;Annual;Hungary;Percentage;Roads;66.7
2007;Annual;Hungary;Percentage;Roads;68.1
2009;Annual;Hungary;Percentage;Roads;70.1
2011;Annual;Hungary;Percentage;Roads;65.8
2012;Annual;Hungary;Percentage;Roads;63.8
2013;Annual;Hungary;Percentage;Roads;63.3
2015;Annual;Hungary;Percentage;Roads;65.1
2008;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;50.9
2011;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;51.8
2013;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;51.8
2017;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;50.6
2006;Annual;Netherlands;Percentage;Roads;50.7
2009;Annual;Netherlands;Percentage;Roads;53.0
2012;Annual;Netherlands;Percentage;Roads;46.7
2016;Annual;Netherlands;Percentage;Roads;49.7
2009;Annual;Hungary;Percentage;Inland waterways;5.8
2017;Annual;Hungary;Percentage;Inland waterways;4.8
2008;Annual;Portugal;Percentage;Railways;9.7
2010;Annual;Portugal;Percentage;Railways;10.9
2011;Annual;Portugal;Percentage;Railways;10.9
2013;Annual;Portugal;Percentage;Railways;12.7
2018;Annual;Portugal;Percentage;Railways;14.2
2006;Annual;Italy;Percentage;Inland waterways;0.0
2007;Annual;Italy;Percentage;Inland waterways;0.0
2009;Annual;Italy;Percentage;Inland waterways;0.0
2006;Annual;Latvia;Percentage;Railways;81.0
2011;Annual;Lithuania;Percentage;Railways;73.7
2016;Annual;Lithuania;Percentage;Railways;65.0
2018;Annual;Lithuania;Percentage;Railways;67.9
2005;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;28.1
2009;Annual;Romania;Percentage;Roads;52.4
2017;Annual;Romania;Percentage;Roads;42.4
2005;Annual;Romania;Percentage;Inland waterways;23.2
2009;Annual;Romania;Percentage;Inland waterways;24.5
2017;Annual;Romania;Percentage;Inland waterways;27.4
2008;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;50.2
2009;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;47.6
2010;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;63.1
2018;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;56.0
2007;Annual;Switzerland;Percentage;Railways;35.1
2013;Annual;Slovakia;Percentage;Railways;39.0
2010;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;35.6
2005;Annual;Austria;Percentage;Roads;61.0
2006;Annual;Austria;Percentage;Roads;60.8
2009;Annual;Austria;Percentage;Roads;64.3
2010;Annual;Poland;Percentage;Roads;70.4
2011;Annual;Poland;Percentage;Roads;70.0
2012;Annual;Poland;Percentage;Roads;72.3
2018;Annual;Poland;Percentage;Roads;73.1
2007;Annual;Poland;Percentage;Inland waterways;0.2
2008;Annual;Poland;Percentage;Inland waterways;0.2
2012;Annual;Poland;Percentage;Inland waterways;0.1
2014;Annual;Poland;Percentage;Inland waterways;0.1
2018;Annual;Poland;Percentage;Inland waterways;0.1
2005;Annual;Luxembourg;Percentage;Inland waterways;13.1
2011;Annual;Luxembourg;Percentage;Inland waterways;11.1
2013;Annual;Luxembourg;Percentage;Inland waterways;10.5
2018;Annual;Luxembourg;Percentage;Inland waterways;7.5
2008;Annual;Ireland;Percentage;Roads;99.3
2011;Annual;Ireland;Percentage;Roads;98.8
2013;Annual;Ireland;Percentage;Roads;98.9
2010;Annual;Spain;Percentage;Railways;4.6
2011;Annual;Spain;Percentage;Railways;5.0
2015;Annual;Spain;Percentage;Railways;5.8
2017;Annual;Spain;Percentage;Railways;5.1
2009;Annual;United Kingdom;Percentage;Railways, inland waterways - sum of available data;11.7
2014;Annual;United Kingdom;Percentage;Railways, inland waterways - sum of available data;13.6
2011;Annual;Norway;Percentage;Railways;15.8
2018;Annual;Norway;Percentage;Railways;15.5
2009;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;9.4
2013;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;12.7
2014;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;12.8
2017;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;14.1
2006;Annual;Slovenia;Percentage;Railways;29.8
2011;Annual;Slovenia;Percentage;Railways;34.0
2006;Annual;Portugal;Percentage;Roads;91.0
2008;Annual;Portugal;Percentage;Roads;90.3
2013;Annual;Portugal;Percentage;Roads;87.3
2005;Annual;Romania;Percentage;Railways;26.0
2011;Annual;Romania;Percentage;Railways;35.4
2015;Annual;Romania;Percentage;Railways;31.6
2016;Annual;Romania;Percentage;Railways;30.3
2009;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;16.4
2015;Annual;Switzerland;Percentage;Railways, inland waterways - sum of available data;37.5
2012;Annual;Cyprus;Percentage;Roads;100.0
2017;Annual;Cyprus;Percentage;Roads;100.0
2006;Annual;Lithuania;Percentage;Roads;28.9
2011;Annual;Lithuania;Percentage;Roads;26.3
2012;Annual;Lithuania;Percentage;Roads;29.7
2007;Annual;Netherlands;Percentage;Inland waterways;44.8
2015;Annual;Netherlands;Percentage;Inland waterways;45.4
2011;Annual;Austria;Percentage;Railways;33.1
2006;Annual;Lithuania;Percentage;Inland waterways;0.0
2009;Annual;Lithuania;Percentage;Inland waterways;0.0
2012;Annual;Lithuania;Percentage;Inland waterways;0.0
2013;Annual;Lithuania;Percentage;Inland waterways;0.0
2007;Annual;Luxembourg;Percentage;Railways;19.7
2017;Annual;Luxembourg;Percentage;Railways;6.8
2006;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;29.8
2007;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;30.1
2015;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;35.0
2006;Annual;Finland;Percentage;Railways;29.4
2007;Annual;Finland;Percentage;Railways;27.8
2009;Annual;Finland;Percentage;Railways;25.8
2014;Annual;Finland;Percentage;Railways;30.7
2006;Annual;Hungary;Percentage;Railways, inland waterways - sum of available data;33.3
2008;Annual;Hungary;Percentage;Railways, inland waterways - sum of available data;30.9
2005;Annual;Poland;Percentage;Railways;36.5
2006;Annual;Poland;Percentage;Railways;37.1
2009;Annual;Poland;Percentage;Railways;28.8
2012;Annual;Poland;Percentage;Railways;27.6
2017;Annual;Poland;Percentage;Railways;23.9
2018;Annual;Poland;Percentage;Railways;26.8
2017;Annual;Slovenia;Percentage;Roads;64.5
2005;Annual;Finland;Percentage;Roads;74.7
2007;Annual;Finland;Percentage;Inland waterways;0.3
2009;Annual;Finland;Percentage;Inland waterways;0.2
2014;Annual;Finland;Percentage;Inland waterways;0.4
2015;Annual;Finland;Percentage;Inland waterways;0.4
2016;Annual;Finland;Percentage;Inland waterways;0.3
2008;Annual;Sweden;Percentage;Roads;68.1
2012;Annual;Sweden;Percentage;Roads;64.2
2017;Annual;Sweden;Percentage;Roads;69.8
2018;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;18.0
2006;Annual;Belgium;Percentage;Railways;13.1
2007;Annual;Belgium;Percentage;Railways;13.8
2013;Annual;Belgium;Percentage;Railways;11.0
2018;Annual;Belgium;Percentage;Railways;11.7
2005;Annual;Greece;Percentage;Railways;2.7
2013;Annual;Greece;Percentage;Railways;1.5
2014;Annual;Greece;Percentage;Railways;1.7
2011;Annual;France;Percentage;Railways, inland waterways - sum of available data;13.7
2013;Annual;France;Percentage;Railways, inland waterways - sum of available data;13.6
2006;Annual;Croatia;Percentage;Railways, inland waterways - sum of available data;26.9
2018;Annual;Croatia;Percentage;Railways, inland waterways - sum of available data;26.4
2005;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;84.1
2010;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;82.1
2013;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;81.2
2017;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;74.0
2018;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;75.8
2011;Annual;Slovakia;Percentage;Railways, inland waterways - sum of available data;42.7
2011;Annual;United Kingdom;Percentage;Railways;12.1
2012;Annual;United Kingdom;Percentage;Railways;12.1
2014;Annual;United Kingdom;Percentage;Railways;13.5
2006;Annual;Norway;Percentage;Roads;84.2
2007;Annual;Norway;Percentage;Roads;83.6
2012;Annual;Norway;Percentage;Roads;85.2
2014;Annual;Norway;Percentage;Roads;86.3
2016;Annual;Norway;Percentage;Roads;87.0
2007;Annual;Switzerland;Percentage;Roads;64.8
2013;Annual;Switzerland;Percentage;Inland waterways;0.1
2016;Annual;Switzerland;Percentage;Inland waterways;0.1
2017;Annual;Switzerland;Percentage;Inland waterways;0.1
2018;Annual;Switzerland;Percentage;Inland waterways;0.1
2005;Annual;European Union - 27 countries (from 2020);Percentage;Railways, inland waterways - sum of available data;25.6
2012;Annual;European Union - 27 countries (from 2020);Percentage;Railways, inland waterways - sum of available data;26.5
2018;Annual;European Union - 27 countries (from 2020);Percentage;Railways, inland waterways - sum of available data;24.7
2010;Annual;European Union - 27 countries (from 2020);Percentage;Railways;18.0
2016;Annual;European Union - 27 countries (from 2020);Percentage;Railways;18.9
2010;Annual;European Union - 27 countries (from 2020);Percentage;Roads;74.6
2015;Annual;European Union - 27 countries (from 2020);Percentage;Roads;74.2
2009;Annual;European Union - 27 countries (from 2020);Percentage;Inland waterways;6.7
2010;Annual;European Union - 27 countries (from 2020);Percentage;Inland waterways;7.4
2017;Annual;European Union - 27 countries (from 2020);Percentage;Inland waterways;6.5
2009;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;30.5
2011;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;30.2
2005;Annual;France;Percentage;Railways;11.8
2009;Annual;France;Percentage;Railways;10.6
2014;Annual;France;Percentage;Railways;10.8
2016;Annual;France;Percentage;Railways;10.9
2017;Annual;France;Percentage;Railways;10.5
2013;Annual;Croatia;Percentage;Roads;72.9
2014;Annual;Croatia;Percentage;Roads;72.7
2012;Annual;Croatia;Percentage;Inland waterways;7.3
2018;Annual;Croatia;Percentage;Inland waterways;5.2
2005;Annual;Latvia;Percentage;Roads;15.9
2009;Annual;Latvia;Percentage;Roads;14.6
2010;Annual;Latvia;Percentage;Roads;17.9
2017;Annual;Latvia;Percentage;Roads;26.0
2010;Annual;Malta;Percentage;Roads;100.0
2015;Annual;Malta;Percentage;Roads;100.0
2016;Annual;Malta;Percentage;Roads;100.0
2006;Annual;Netherlands;Percentage;Railways;6.4
2008;Annual;Netherlands;Percentage;Railways;6.7
2012;Annual;Netherlands;Percentage;Railways;6.1
2013;Annual;Netherlands;Percentage;Railways;5.7
2017;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;34.6
2005;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;75.6
2011;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;75.0
2013;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;74.8
2018;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;76.5
2006;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.3
2010;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.9
2016;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.2
2007;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;53.9
2012;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;47.1
2005;Annual;Czechia;Percentage;Roads;68.5
2006;Annual;Czechia;Percentage;Roads;68.1
2011;Annual;Czechia;Percentage;Roads;69.8
2017;Annual;Czechia;Percentage;Roads;73.1
2009;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;28.9
2016;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;24.8
2006;Annual;Slovakia;Percentage;Roads;49.1
2007;Annual;Slovakia;Percentage;Roads;53.3
2010;Annual;Slovakia;Percentage;Roads;55.9
2013;Annual;Slovakia;Percentage;Roads;56.4
2014;Annual;Slovakia;Percentage;Roads;57.1
2015;Annual;Slovakia;Percentage;Roads;60.2
2017;Annual;Slovakia;Percentage;Roads;63.5
2005;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;10.6
2010;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;11.5
2012;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;10.9
2017;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;11.5
2018;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;11.8
2009;Annual;France;Percentage;Roads;86.5
2013;Annual;France;Percentage;Roads;86.4
2015;Annual;France;Percentage;Roads;85.5
2006;Annual;Belgium;Percentage;Roads;73.3
2008;Annual;Belgium;Percentage;Roads;72.8
2011;Annual;Belgium;Percentage;Roads;73.0
2012;Annual;Belgium;Percentage;Roads;72.2
2013;Annual;Belgium;Percentage;Roads;73.1
2018;Annual;Belgium;Percentage;Roads;72.1
2008;Annual;Belgium;Percentage;Inland waterways;13.5
2013;Annual;Belgium;Percentage;Inland waterways;15.9
2008;Annual;Czechia;Percentage;Inland waterways;0.1
2009;Annual;Czechia;Percentage;Inland waterways;0.1
2010;Annual;Czechia;Percentage;Inland waterways;0.1
2017;Annual;Czechia;Percentage;Inland waterways;0.0
2008;Annual;Denmark;Percentage;Railways;9.0
2012;Annual;Denmark;Percentage;Railways;10.9
2013;Annual;Denmark;Percentage;Railways;11.3
2015;Annual;Denmark;Percentage;Railways;12.0
2006;Annual;Slovakia;Percentage;Inland waterways;4.0
2010;Annual;Slovakia;Percentage;Inland waterways;5.6
2011;Annual;Slovakia;Percentage;Inland waterways;4.5
2016;Annual;Slovakia;Percentage;Inland waterways;3.7
2013;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;30.5
2013;Annual;Bulgaria;Percentage;Roads;56.0
2016;Annual;Bulgaria;Percentage;Roads;55.6
2013;Annual;Bulgaria;Percentage;Inland waterways;27.5
2014;Annual;Bulgaria;Percentage;Inland waterways;26.9
2006;Annual;France;Percentage;Inland waterways;2.5
2007;Annual;France;Percentage;Inland waterways;2.5
2017;Annual;France;Percentage;Inland waterways;2.4
2008;Annual;Lithuania;Percentage;Railways, inland waterways - sum of available data;73.0
2006;Annual;Bulgaria;Percentage;Railways;23.3
2008;Annual;Czechia;Percentage;Railways;32.2
2009;Annual;Czechia;Percentage;Railways;30.5
2012;Annual;Czechia;Percentage;Railways;30.5
2014;Annual;Czechia;Percentage;Railways;28.2
2015;Annual;Czechia;Percentage;Railways;26.3
2005;Annual;European Union - 28 countries (2013-2020);Percentage;Railways, inland waterways - sum of available data;24.4
2012;Annual;European Union - 28 countries (2013-2020);Percentage;Railways, inland waterways - sum of available data;25.4
2017;Annual;European Union - 28 countries (2013-2020);Percentage;Railways, inland waterways - sum of available data;23.7
2007;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;27.1
2009;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;23.3
2015;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;26.4
2016;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;25.7
2006;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;2.2
2007;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;3.3
2014;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;1.7
2015;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;1.6
2007;Annual;Greece;Percentage;Roads;96.7
2009;Annual;Greece;Percentage;Roads;97.9
2010;Annual;Greece;Percentage;Roads;97.8
2005;Annual;Croatia;Percentage;Railways;20.0
2011;Annual;Croatia;Percentage;Railways;22.4
2012;Annual;Croatia;Percentage;Railways;22.2
2013;Annual;Croatia;Percentage;Railways;19.8
2018;Annual;Croatia;Percentage;Railways;21.2
2007;Annual;Italy;Percentage;Roads;88.0
2008;Annual;Italy;Percentage;Roads;88.7
2012;Annual;Italy;Percentage;Roads;87.3
2016;Annual;Italy;Percentage;Roads;85.3
2017;Annual;Italy;Percentage;Roads;86.4
2010;Annual;Sweden;Percentage;Railways;35.6
2013;Annual;Sweden;Percentage;Railways;33.7
2017;Annual;Sweden;Percentage;Railways;30.2
2014;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;28.7
2017;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;27.9
2006;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;78.4
2012;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;66.9
2013;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;63.7
2016;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;42.9
2017;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;44.4
2018;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;46.2
2007;Annual;Estonia;Percentage;Roads;25.8
2009;Annual;Estonia;Percentage;Roads;25.9
2018;Annual;Estonia;Percentage;Roads;53.8
2005;Annual;Spain;Percentage;Roads;94.8
2011;Annual;Spain;Percentage;Roads;95.0
2012;Annual;Spain;Percentage;Roads;94.7
2006;Annual;Denmark;Percentage;Roads;90.3
2009;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;17.9
2013;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;19.1
2009;Annual;United Kingdom;Percentage;Inland waterways;0.1
2010;Annual;United Kingdom;Percentage;Inland waterways;0.1
2012;Annual;United Kingdom;Percentage;Inland waterways;0.1
2017;Annual;United Kingdom;Percentage;Inland waterways;0.1
2011;Annual;Estonia;Percentage;Railways;71.6
2009;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;0.8
2010;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;0.9
2012;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;1.0
2012;Annual;Italy;Percentage;Railways;12.7
2017;Annual;Luxembourg;Percentage;Roads;87.0
2018;Annual;Luxembourg;Percentage;Roads;84.3
2006;Annual;Ireland;Percentage;Railways;1.3
2006;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;5.0
2007;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;4.5
2009;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;4.0
2013;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;5.3
2013;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;70.7
2018;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;72.8
2005;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;12.1
