Country;Date;Frequency;Measurement;Value;Vehicle Category
Azerbaijan;2001;Annual;per 1000 inhabitants;1.0;Motorcycles
Azerbaijan;2010;Annual;per 1000 inhabitants;0.0;Motorcycles
Azerbaijan;2017;Annual;per 1000 inhabitants;0.0;Motorcycles
Azerbaijan;1997;Annual;absolute value;271000.0;Passenger cars
Azerbaijan;1998;Annual;absolute value;281000.0;Passenger cars
Azerbaijan;2005;Annual;absolute value;479000.0;Passenger cars
Azerbaijan;2010;Annual;absolute value;815700.0;Passenger cars
Azerbaijan;2015;Annual;absolute value;1129600.0;Passenger cars
Azerbaijan;1994;Annual;per 1000 inhabitants;36.0;Passenger cars
Azerbaijan;1995;Annual;per 1000 inhabitants;36.0;Passenger cars
Azerbaijan;1997;Annual;per 1000 inhabitants;35.0;Passenger cars
Azerbaijan;2006;Annual;per 1000 inhabitants;64.0;Passenger cars
Azerbaijan;2007;Annual;per 1000 inhabitants;71.0;Passenger cars
Azerbaijan;2001;Annual;absolute value;17275.0;Motor coaches, buses and trolley bus
Azerbaijan;2004;Annual;absolute value;20991.0;Motor coaches, buses and trolley bus
Azerbaijan;2017;Annual;absolute value;30788.0;Motor coaches, buses and trolley bus
Azerbaijan;1993;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Azerbaijan;1997;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Azerbaijan;2002;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Azerbaijan;1996;Annual;absolute value;93.0;Trams
Azerbaijan;1995;Annual;per 1000 inhabitants;0.0;Trams
Belarus;1994;Annual;absolute value;463400.0;Motorcycles
Belarus;2008;Annual;absolute value;373750.0;Motorcycles
Belarus;2011;Annual;absolute value;379276.0;Motorcycles
Belarus;2012;Annual;absolute value;396032.0;Motorcycles
Belarus;1996;Annual;per 1000 inhabitants;53.0;Motorcycles
Belarus;1997;Annual;per 1000 inhabitants;55.0;Motorcycles
Belarus;2010;Annual;per 1000 inhabitants;36.0;Motorcycles
Belarus;1994;Annual;absolute value;876000.0;Passenger cars
Belarus;2005;Annual;absolute value;1775167.0;Passenger cars
Belarus;2011;Annual;absolute value;2750555.0;Passenger cars
Belarus;2014;Annual;absolute value;2942579.0;Passenger cars
Belarus;1995;Annual;per 1000 inhabitants;93.0;Passenger cars
Belarus;1993;Annual;absolute value;35000.0;Motor coaches, buses and trolley bus
Belarus;1994;Annual;absolute value;35100.0;Motor coaches, buses and trolley bus
Belarus;1996;Annual;absolute value;36800.0;Motor coaches, buses and trolley bus
Belarus;2008;Annual;per 1000 inhabitants;5.0;Motor coaches, buses and trolley bus
Belarus;2012;Annual;per 1000 inhabitants;5.0;Motor coaches, buses and trolley bus
Belarus;2013;Annual;per 1000 inhabitants;5.0;Motor coaches, buses and trolley bus
Belarus;2016;Annual;per 1000 inhabitants;5.0;Motor coaches, buses and trolley bus
Belarus;2012;Annual;absolute value;273.0;Trams
Belarus;2014;Annual;absolute value;284.0;Trams
Belarus;2015;Annual;absolute value;322.0;Trams
Belarus;1994;Annual;per 1000 inhabitants;0.0;Trams
Belarus;1999;Annual;per 1000 inhabitants;0.0;Trams
Belarus;2010;Annual;per 1000 inhabitants;0.0;Trams
Belarus;2011;Annual;per 1000 inhabitants;0.0;Trams
Belarus;2012;Annual;per 1000 inhabitants;0.0;Trams
Belgium;2006;Annual;absolute value;360000.0;Motorcycles
Belgium;2015;Annual;absolute value;465786.0;Motorcycles
Belgium;2017;Annual;absolute value;481984.0;Motorcycles
Belgium;1995;Annual;per 1000 inhabitants;20.0;Motorcycles
Belgium;2003;Annual;per 1000 inhabitants;31.0;Motorcycles
Belgium;2012;Annual;per 1000 inhabitants;40.0;Motorcycles
Belgium;2015;Annual;per 1000 inhabitants;41.0;Motorcycles
Belgium;2010;Annual;absolute value;5276000.0;Passenger cars
Belgium;2011;Annual;absolute value;5407000.0;Passenger cars
Belgium;2012;Annual;absolute value;5444000.0;Passenger cars
Belgium;2014;Annual;absolute value;5555499.0;Passenger cars
Belgium;1995;Annual;per 1000 inhabitants;422.0;Passenger cars
Belgium;1998;Annual;per 1000 inhabitants;440.0;Passenger cars
Belgium;2008;Annual;per 1000 inhabitants;479.0;Passenger cars
Belgium;2009;Annual;per 1000 inhabitants;481.0;Passenger cars
Belgium;2012;Annual;per 1000 inhabitants;492.0;Passenger cars
Belgium;2016;Annual;per 1000 inhabitants;506.0;Passenger cars
Belgium;2017;Annual;per 1000 inhabitants;510.0;Passenger cars
Belgium;2006;Annual;absolute value;15329.0;Motor coaches, buses and trolley bus
Belgium;2010;Annual;absolute value;16226.0;Motor coaches, buses and trolley bus
Belgium;2015;Annual;absolute value;16094.0;Motor coaches, buses and trolley bus
Belgium;1998;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Belgium;2000;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Belgium;2001;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Belgium;2002;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Belgium;2003;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Belgium;2006;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Belgium;2008;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;2010;Annual;absolute value;4449.0;Mopeds
Bosnia and Herzegovina;2017;Annual;absolute value;2768.0;Mopeds
Bosnia and Herzegovina;2010;Annual;per 1000 inhabitants;1.0;Mopeds
Bosnia and Herzegovina;2011;Annual;per 1000 inhabitants;1.0;Mopeds
Bosnia and Herzegovina;2010;Annual;absolute value;7522.0;Motorcycles
Bosnia and Herzegovina;2011;Annual;absolute value;7715.0;Motorcycles
Bosnia and Herzegovina;2008;Annual;per 1000 inhabitants;2.0;Motorcycles
Bosnia and Herzegovina;2014;Annual;per 1000 inhabitants;2.0;Motorcycles
Bosnia and Herzegovina;1995;Annual;absolute value;62000.0;Passenger cars
Bosnia and Herzegovina;1996;Annual;absolute value;80000.0;Passenger cars
Bosnia and Herzegovina;2009;Annual;absolute value;694075.0;Passenger cars
Bosnia and Herzegovina;2010;Annual;absolute value;724787.0;Passenger cars
Bosnia and Herzegovina;2011;Annual;absolute value;735258.0;Passenger cars
Bosnia and Herzegovina;2012;Annual;absolute value;751647.0;Passenger cars
Bosnia and Herzegovina;2015;Annual;absolute value;828730.0;Passenger cars
Bosnia and Herzegovina;2016;Annual;absolute value;828333.0;Passenger cars
Bosnia and Herzegovina;2017;Annual;absolute value;884569.0;Passenger cars
Bosnia and Herzegovina;1995;Annual;per 1000 inhabitants;16.0;Passenger cars
Bosnia and Herzegovina;1996;Annual;per 1000 inhabitants;21.0;Passenger cars
Bosnia and Herzegovina;2012;Annual;per 1000 inhabitants;196.0;Passenger cars
Bosnia and Herzegovina;2014;Annual;per 1000 inhabitants;210.0;Passenger cars
Bosnia and Herzegovina;2016;Annual;per 1000 inhabitants;236.0;Passenger cars
Bosnia and Herzegovina;1995;Annual;absolute value;650.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;1996;Annual;absolute value;1047.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;2010;Annual;absolute value;4112.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;2012;Annual;absolute value;4005.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;2013;Annual;absolute value;3711.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;2015;Annual;absolute value;4200.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;1994;Annual;per 1000 inhabitants;0.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;2005;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Bosnia and Herzegovina;2008;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Bulgaria;2004;Annual;absolute value;45000.0;Mopeds
Bulgaria;2017;Annual;absolute value;77920.0;Mopeds
Bulgaria;2006;Annual;per 1000 inhabitants;4.0;Mopeds
Bulgaria;2007;Annual;per 1000 inhabitants;5.0;Mopeds
Bulgaria;2008;Annual;per 1000 inhabitants;6.0;Mopeds
Bulgaria;2011;Annual;per 1000 inhabitants;8.0;Mopeds
Bulgaria;2012;Annual;per 1000 inhabitants;8.0;Mopeds
Bulgaria;2014;Annual;per 1000 inhabitants;10.0;Mopeds
Bulgaria;2017;Annual;per 1000 inhabitants;11.0;Mopeds
Bulgaria;2005;Annual;absolute value;98000.0;Motorcycles
Bulgaria;2016;Annual;absolute value;99797.0;Motorcycles
Bulgaria;2008;Annual;per 1000 inhabitants;8.0;Motorcycles
Bulgaria;2015;Annual;per 1000 inhabitants;13.0;Motorcycles
Bulgaria;1994;Annual;absolute value;1588000.0;Passenger cars
Bulgaria;1995;Annual;absolute value;1648000.0;Passenger cars
Bulgaria;2000;Annual;absolute value;1993000.0;Passenger cars
Bulgaria;2002;Annual;absolute value;2174100.0;Passenger cars
Bulgaria;2004;Annual;absolute value;2438000.0;Passenger cars
Bulgaria;2006;Annual;absolute value;1768000.0;Passenger cars
Bulgaria;2007;Annual;absolute value;2082000.0;Passenger cars
Bulgaria;2009;Annual;absolute value;2502000.0;Passenger cars
Bulgaria;1996;Annual;per 1000 inhabitants;204.0;Passenger cars
Bulgaria;1998;Annual;per 1000 inhabitants;219.0;Passenger cars
Bulgaria;2002;Annual;per 1000 inhabitants;276.0;Passenger cars
Bulgaria;2004;Annual;per 1000 inhabitants;313.0;Passenger cars
Bulgaria;2016;Annual;per 1000 inhabitants;441.0;Passenger cars
Bulgaria;1995;Annual;absolute value;41839.0;Motor coaches, buses and trolley bus
Bulgaria;1998;Annual;absolute value;42264.0;Motor coaches, buses and trolley bus
Bulgaria;2002;Annual;absolute value;43860.0;Motor coaches, buses and trolley bus
Bulgaria;2004;Annual;absolute value;36630.0;Motor coaches, buses and trolley bus
Bulgaria;2008;Annual;absolute value;25249.0;Motor coaches, buses and trolley bus
Bulgaria;2013;Annual;absolute value;23259.0;Motor coaches, buses and trolley bus
Bulgaria;1997;Annual;per 1000 inhabitants;5.0;Motor coaches, buses and trolley bus
Bulgaria;2002;Annual;per 1000 inhabitants;6.0;Motor coaches, buses and trolley bus
Bulgaria;2005;Annual;per 1000 inhabitants;5.0;Motor coaches, buses and trolley bus
Bulgaria;2006;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Bulgaria;2010;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Bulgaria;2015;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Bulgaria;2016;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Bulgaria;2017;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Bulgaria;1993;Annual;absolute value;431.0;Trams
Bulgaria;1996;Annual;absolute value;397.0;Trams
Bulgaria;1998;Annual;absolute value;366.0;Trams
Bulgaria;2002;Annual;absolute value;363.0;Trams
Bulgaria;2008;Annual;absolute value;303.0;Trams
Bulgaria;2011;Annual;absolute value;317.0;Trams
Bulgaria;2003;Annual;per 1000 inhabitants;0.0;Trams
Bulgaria;2009;Annual;per 1000 inhabitants;0.0;Trams
Bulgaria;2013;Annual;per 1000 inhabitants;0.0;Trams
Bulgaria;2015;Annual;per 1000 inhabitants;0.0;Trams
Bulgaria;2016;Annual;per 1000 inhabitants;0.0;Trams
Canada;1993;Annual;absolute value;25563.0;Mopeds
Canada;1997;Annual;absolute value;20.0;Mopeds
Canada;1993;Annual;per 1000 inhabitants;1.0;Mopeds
Canada;1993;Annual;absolute value;310742.0;Motorcycles
Canada;1999;Annual;absolute value;274.0;Motorcycles
Canada;2002;Annual;absolute value;350.0;Motorcycles
Canada;2003;Annual;absolute value;378251.0;Motorcycles
Canada;1994;Annual;per 1000 inhabitants;11.0;Motorcycles
Canada;2012;Annual;per 1000 inhabitants;19.0;Motorcycles
Canada;2013;Annual;per 1000 inhabitants;19.0;Motorcycles
Canada;2014;Annual;per 1000 inhabitants;19.0;Motorcycles
Canada;1995;Annual;absolute value;13192272.0;Passenger cars
Canada;2002;Annual;absolute value;14201.0;Passenger cars
Canada;2004;Annual;absolute value;14301.0;Passenger cars
Canada;2007;Annual;absolute value;15330900.0;Passenger cars
Canada;2008;Annual;absolute value;15966697.0;Passenger cars
Canada;2009;Annual;absolute value;19876990.0;Passenger cars
Canada;2014;Annual;absolute value;21729596.0;Passenger cars
Canada;1993;Annual;per 1000 inhabitants;451.0;Passenger cars
Canada;1995;Annual;per 1000 inhabitants;450.0;Passenger cars
Canada;2002;Annual;per 1000 inhabitants;0.0;Passenger cars
Canada;2009;Annual;per 1000 inhabitants;591.0;Passenger cars
Canada;2013;Annual;per 1000 inhabitants;605.0;Passenger cars
Canada;2014;Annual;per 1000 inhabitants;611.0;Passenger cars
Canada;2016;Annual;per 1000 inhabitants;618.0;Passenger cars
Canada;1996;Annual;absolute value;64155.0;Motor coaches, buses and trolley bus
Canada;1997;Annual;absolute value;64261.0;Motor coaches, buses and trolley bus
Canada;2000;Annual;absolute value;77341.0;Motor coaches, buses and trolley bus
Canada;2010;Annual;absolute value;86327.0;Motor coaches, buses and trolley bus
Canada;2011;Annual;absolute value;86594.0;Motor coaches, buses and trolley bus
Canada;2012;Annual;absolute value;87387.0;Motor coaches, buses and trolley bus
Canada;1993;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Canada;1995;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Canada;1996;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Canada;2000;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Canada;2005;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Canada;2011;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Croatia;1994;Annual;absolute value;10986.0;Mopeds
Croatia;2002;Annual;absolute value;57000.0;Mopeds
Croatia;2004;Annual;per 1000 inhabitants;17.0;Mopeds
Croatia;2005;Annual;per 1000 inhabitants;19.0;Mopeds
Croatia;2007;Annual;per 1000 inhabitants;25.0;Mopeds
Croatia;2008;Annual;per 1000 inhabitants;28.0;Mopeds
Croatia;2013;Annual;per 1000 inhabitants;23.0;Mopeds
Croatia;1998;Annual;absolute value;18957.0;Motorcycles
Croatia;2000;Annual;absolute value;22000.0;Motorcycles
Croatia;2002;Annual;absolute value;28000.0;Motorcycles
Croatia;2007;Annual;absolute value;58000.0;Motorcycles
Croatia;2012;Annual;absolute value;60000.0;Motorcycles
Croatia;2015;Annual;absolute value;62998.0;Motorcycles
Croatia;2016;Annual;absolute value;65366.0;Motorcycles
Croatia;2002;Annual;per 1000 inhabitants;7.0;Motorcycles
Croatia;2007;Annual;per 1000 inhabitants;13.0;Motorcycles
Croatia;1998;Annual;absolute value;1000052.0;Passenger cars
Croatia;1999;Annual;absolute value;1059000.0;Passenger cars
Croatia;2000;Annual;absolute value;1119000.0;Passenger cars
Croatia;2004;Annual;absolute value;1329000.0;Passenger cars
Croatia;2006;Annual;absolute value;1426000.0;Passenger cars
Croatia;2002;Annual;per 1000 inhabitants;285.0;Passenger cars
Croatia;2009;Annual;per 1000 inhabitants;358.0;Passenger cars
Croatia;2013;Annual;per 1000 inhabitants;340.0;Passenger cars
Croatia;2014;Annual;per 1000 inhabitants;348.0;Passenger cars
Croatia;2001;Annual;absolute value;4703.0;Motor coaches, buses and trolley bus
Croatia;2003;Annual;absolute value;4782.0;Motor coaches, buses and trolley bus
Croatia;2008;Annual;absolute value;5112.0;Motor coaches, buses and trolley bus
Croatia;2016;Annual;absolute value;5513.0;Motor coaches, buses and trolley bus
Croatia;2012;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Croatia;1999;Annual;absolute value;446.0;Trams
Croatia;2000;Annual;absolute value;443.0;Trams
Croatia;2008;Annual;absolute value;430.0;Trams
Croatia;2017;Annual;absolute value;361.0;Trams
Croatia;2010;Annual;per 1000 inhabitants;0.0;Trams
Croatia;2014;Annual;per 1000 inhabitants;0.0;Trams
Cyprus;2005;Annual;absolute value;24200.0;Mopeds
Cyprus;2008;Annual;absolute value;20900.0;Mopeds
Cyprus;2009;Annual;absolute value;19200.0;Mopeds
Cyprus;2012;Annual;absolute value;15800.0;Mopeds
Cyprus;2017;Annual;absolute value;12156.0;Mopeds
Cyprus;1996;Annual;per 1000 inhabitants;52.0;Mopeds
Cyprus;1998;Annual;per 1000 inhabitants;48.0;Mopeds
Cyprus;2007;Annual;per 1000 inhabitants;29.0;Mopeds
Cyprus;2010;Annual;per 1000 inhabitants;21.0;Mopeds
Cyprus;1993;Annual;absolute value;13400.0;Motorcycles
Cyprus;1996;Annual;absolute value;12100.0;Motorcycles
Cyprus;1999;Annual;absolute value;12700.0;Motorcycles
Cyprus;2000;Annual;absolute value;12700.0;Motorcycles
Cyprus;2002;Annual;absolute value;12900.0;Motorcycles
Cyprus;2003;Annual;absolute value;14300.0;Motorcycles
Cyprus;2004;Annual;absolute value;15400.0;Motorcycles
Cyprus;2005;Annual;absolute value;16200.0;Motorcycles
Cyprus;2008;Annual;absolute value;22400.0;Motorcycles
Cyprus;2012;Annual;absolute value;25300.0;Motorcycles
Cyprus;1998;Annual;per 1000 inhabitants;18.0;Motorcycles
Cyprus;1999;Annual;per 1000 inhabitants;18.0;Motorcycles
Cyprus;2002;Annual;per 1000 inhabitants;18.0;Motorcycles
Cyprus;2003;Annual;per 1000 inhabitants;20.0;Motorcycles
Cyprus;2005;Annual;per 1000 inhabitants;22.0;Motorcycles
Cyprus;2010;Annual;per 1000 inhabitants;29.0;Motorcycles
Cyprus;1996;Annual;absolute value;227000.0;Passenger cars
Cyprus;2016;Annual;absolute value;508284.0;Passenger cars
Cyprus;1997;Annual;per 1000 inhabitants;350.0;Passenger cars
Cyprus;2000;Annual;per 1000 inhabitants;386.0;Passenger cars
Cyprus;2005;Annual;per 1000 inhabitants;481.0;Passenger cars
Cyprus;2007;Annual;per 1000 inhabitants;536.0;Passenger cars
Cyprus;2008;Annual;per 1000 inhabitants;564.0;Passenger cars
Cyprus;2009;Annual;per 1000 inhabitants;571.0;Passenger cars
Cyprus;2011;Annual;per 1000 inhabitants;552.0;Passenger cars
Cyprus;2015;Annual;per 1000 inhabitants;575.0;Passenger cars
Cyprus;1998;Annual;absolute value;2754.0;Motor coaches, buses and trolley bus
Cyprus;1999;Annual;absolute value;2835.0;Motor coaches, buses and trolley bus
Cyprus;2000;Annual;absolute value;2949.0;Motor coaches, buses and trolley bus
Cyprus;2011;Annual;absolute value;3461.0;Motor coaches, buses and trolley bus
Cyprus;2012;Annual;absolute value;3557.0;Motor coaches, buses and trolley bus
Cyprus;2014;Annual;absolute value;2581.0;Motor coaches, buses and trolley bus
Cyprus;1995;Annual;per 1000 inhabitants;4.0;Motor coaches, buses and trolley bus
Cyprus;2004;Annual;per 1000 inhabitants;0.0;Motor coaches, buses and trolley bus
Cyprus;2010;Annual;per 1000 inhabitants;4.0;Motor coaches, buses and trolley bus
Cyprus;2011;Annual;per 1000 inhabitants;4.0;Motor coaches, buses and trolley bus
Cyprus;2014;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Cyprus;1995;Annual;absolute value;0.0;Trams
Cyprus;1996;Annual;absolute value;0.0;Trams
Cyprus;1996;Annual;per 1000 inhabitants;0.0;Trams
Czechia;1994;Annual;absolute value;509463.0;Mopeds
Czechia;2002;Annual;absolute value;444000.0;Mopeds
Czechia;2007;Annual;absolute value;476000.0;Mopeds
Czechia;2011;Annual;absolute value;481000.0;Mopeds
Czechia;2015;Annual;absolute value;485226.0;Mopeds
Czechia;2016;Annual;absolute value;485045.0;Mopeds
Czechia;1995;Annual;per 1000 inhabitants;49.0;Mopeds
Czechia;2009;Annual;per 1000 inhabitants;45.0;Mopeds
Czechia;2011;Annual;per 1000 inhabitants;46.0;Mopeds
Czechia;2017;Annual;per 1000 inhabitants;46.0;Mopeds
Czechia;1994;Annual;absolute value;402882.0;Motorcycles
Czechia;1997;Annual;absolute value;929600.0;Motorcycles
Czechia;2003;Annual;absolute value;752000.0;Motorcycles
Czechia;2017;Annual;absolute value;1102392.0;Motorcycles
Czechia;2003;Annual;per 1000 inhabitants;74.0;Motorcycles
Czechia;2007;Annual;per 1000 inhabitants;83.0;Motorcycles
Czechia;2009;Annual;per 1000 inhabitants;86.0;Motorcycles
Czechia;2015;Annual;per 1000 inhabitants;99.0;Motorcycles
Czechia;1993;Annual;absolute value;2833143.0;Passenger cars
Czechia;2000;Annual;absolute value;3438900.0;Passenger cars
Czechia;2002;Annual;absolute value;3647100.0;Passenger cars
Czechia;2010;Annual;absolute value;4496000.0;Passenger cars
Czechia;2014;Annual;absolute value;4833386.0;Passenger cars
Czechia;2015;Annual;absolute value;5115316.0;Passenger cars
Czechia;2010;Annual;per 1000 inhabitants;427.0;Passenger cars
Czechia;2016;Annual;per 1000 inhabitants;502.0;Passenger cars
Czechia;1993;Annual;absolute value;19203.0;Motor coaches, buses and trolley bus
Czechia;1999;Annual;absolute value;18981.0;Motor coaches, buses and trolley bus
Czechia;2004;Annual;absolute value;19948.0;Motor coaches, buses and trolley bus
Czechia;2013;Annual;absolute value;20318.0;Motor coaches, buses and trolley bus
Czechia;2016;Annual;absolute value;20876.0;Motor coaches, buses and trolley bus
Czechia;1995;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Czechia;2002;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Czechia;2006;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Czechia;2009;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Czechia;2016;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Czechia;1993;Annual;absolute value;1908.0;Trams
Czechia;1996;Annual;absolute value;1929.0;Trams
Czechia;2000;Annual;absolute value;1888.0;Trams
Czechia;2010;Annual;absolute value;1826.0;Trams
Czechia;2014;Annual;absolute value;1828.0;Trams
Czechia;1997;Annual;per 1000 inhabitants;0.0;Trams
Czechia;1999;Annual;per 1000 inhabitants;0.0;Trams
Czechia;2000;Annual;per 1000 inhabitants;0.0;Trams
Czechia;2005;Annual;per 1000 inhabitants;0.0;Trams
Czechia;2007;Annual;per 1000 inhabitants;0.0;Trams
Czechia;2012;Annual;per 1000 inhabitants;0.0;Trams
Czechia;2015;Annual;per 1000 inhabitants;0.0;Trams
Denmark;1997;Annual;absolute value;33986.0;Mopeds
Denmark;2001;Annual;absolute value;67975.0;Mopeds
Denmark;2013;Annual;absolute value;47716.0;Mopeds
Denmark;2017;Annual;absolute value;41983.0;Mopeds
Denmark;1998;Annual;per 1000 inhabitants;9.0;Mopeds
Denmark;2003;Annual;per 1000 inhabitants;13.0;Mopeds
Denmark;2004;Annual;per 1000 inhabitants;12.0;Mopeds
Denmark;1998;Annual;absolute value;64000.0;Motorcycles
Denmark;2001;Annual;absolute value;78390.0;Motorcycles
Denmark;2003;Annual;absolute value;87779.0;Motorcycles
Denmark;2009;Annual;absolute value;147373.0;Motorcycles
Denmark;2010;Annual;absolute value;148766.0;Motorcycles
Denmark;2011;Annual;absolute value;148817.0;Motorcycles
Denmark;2015;Annual;absolute value;153411.0;Motorcycles
